,,,,,,,,
,10.1038/s41598-021-89969-9,Methylsalicylat,,,"Bubble gum, wintergreen",,119-36-8,
,10.1038/s41598-021-89969-9,trans-Anethol,,,"Liquorice, anise",,4180-23-8,
,10.1038/s41598-021-89969-9,Ethylacetat,,,"Sweet, ""pear drops""",,141-78-6,
,10.1038/s41598-021-89969-9,Propionic acid,,,"Stinging, vinegar, acidic",,79-09-4,
,10.1038/s41598-021-89969-9,Eugenol,,,Clove,,97-53-0,
,10.1038/s41598-021-89969-9,2-Nonanone,,,"Fruity, cheesy",,821-55-6,
,10.1038/s41598-021-89969-9,Indole,,,"Sweet, unpleasant",,120-72-9,
,10.1038/s41598-021-89969-9,Benzaldehyde,,,"Marzipan, cherry, almond",,100-52-7,
,10.1038/s41598-021-89969-9,Butyric acid,,,"Rancid butter, parmesan cheese, vomit",,107-92-6,
,10.1038/s41598-021-89969-9,p-Cresole,,,Livestock waste,,106-44-5,
,10.1038/s41598-021-89969-9,Guajacole,,,"Band aid, sweet, creamy",,90-05-1,
,10.1038/s41598-021-89969-9,(+)-Linalool,,,"Lemon, lime",,126-90-9,
,10.1038/s41598-021-89969-9,(+)-Fenchone,,,"Minty, camphor-like",,4695-62-9,
,10.1038/s41598-021-89969-9,HMHA,,,Sweaty,,"58,888-76-9",
,10.1038/s41598-021-89969-9,Amyl caproate,,,"Banana, fruity",,0540-07-08,
,10.1038/s41598-021-89969-9,"2, 3-Butandione",,,"Butter, perspiration",,0431-03-08,
,10.1038/s41598-021-89969-9,Citronellal,,,Lemon,,106-23-0,
,10.1038/s41598-021-89969-9,cis-3-Hexenol,,,Grass,,928-96-1,
,10.1038/s41598-021-89969-9,1-Butanol,,,"Cheese, sweat",,71-36-3,
,10.1038/s41598-021-89969-9,4-Ethyl octanoic acid,,,Goaty,,16493-80-4,
,10.1038/s41598-021-89969-9,β-ionone,,,Lilac,,79-77-6,
,10.1038/s41598-021-89969-9,2-Methyl propanal,,,Wet cereal or straw,,78-84-2,
,10.1038/s41598-021-89969-9,Terpinene-4-ol,,,Musty,,562-74-3,
,10.1038/s41598-021-89969-9,Isobutyric acid,,,Rancid butter,,79-31-2,
,10.1038/s41598-021-89969-9,4-Decanolid,,,Peachy,,706-14-9,
,10.1038/s41598-021-89969-9,Citronellol,,,Lemony,,106-22-9,
,10.1038/s41598-021-89969-9,3-Methyl-3-sulfanylhexan-1-ol,,,Sweaty,,307964-23-4,
,10.1038/s41598-021-89969-9,D-(+)-Limonene,,,Lemony,,5989-27-5,
,10.1038/s41598-021-89969-9,alpha-Pinene,,,"Woody, pine, resinous",,80-56-8,
,10.1038/s41598-021-89969-9,Methional,,,Potato,,3268-49-3,
,10.1038/s41598-021-89969-9,Benzyl acetate,,,"Yasmin, fruity, ylang",,0140-11-4,
,10.1038/s41598-021-89969-9,1-Octen-3-ol,,,Mushrooms,,3391-86-4,
,10.1038/s41598-021-89969-9,trans-2-Hexenyl acetate,,,"Fruity, apple, waxy",,2497-18-9,
,10.1038/s41598-021-89969-9,L-Carvone (−),,,Caraway,,6485-40-1,
,10.1038/s41598-021-89969-9,Beta-Caryophyllen,,,"Peppery, spicy, resinous",,87-44-5,
,10.1038/s41598-021-89969-9,Heptanal,,,"Fruity, sharp",,111-71-7,
,10.1038/s41598-021-89969-9 ,2-Butanone,,,Cheese,,78-93-3,
,DOI: 10.1038/s41598-021-96524-z,nerolidol,,,,,,
,https://doi.org/10.1002/ffj.3485,2-Phenylpropionaldehyde,,,,,,
,https://doi.org/10.1002/ffj.3485,Decanal,,,,,,
,https://doi.org/10.1002/ffj.3485,Benzyl acetate,,,,,,
,https://doi.org/10.1002/ffj.3485,Benzyl alcohol,,,,,,
,https://doi.org/10.1002/ffj.3485,Methyl salicylate,,,,,,
,https://doi.org/10.1002/ffj.3485,2-Phenylethanol,,,,,,
,https://doi.org/10.1002/ffj.3485,Ethylphenyl acetate,,,,,,
,https://doi.org/10.1002/ffj.3485,2-Phenyl-1-propanol,,,,,,
,https://doi.org/10.1002/ffj.3485,3-Phenyl-1-propanol,,,,,,
,https://doi.org/10.1002/ffj.3485,n-Decyl acetate,,,,,,
,https://doi.org/10.1002/ffj.3485,Benzyl benzoate,,,,,,
